200
6.32 5.11
7.99 5.37
14.08 5.10
20.11 6.91
29.77 6.29
35.56 6.29
37.78 6.04
40.05 8.12
47.02 6.17
55.47 6.47
65.96 7.61
70.03 7.85
74.97 5.58
76.14 5.60
82.88 7.43
91.54 6.63
93.23 8.26
103.71 5.16
108.74 8.88
113.80 7.43
121.71 8.48
131.01 8.11
140.28 5.42
144.72 5.61
146.78 5.30
150.17 6.45
158.50 6.94
164.49 8.51
172.69 6.42
180.67 6.45
181.73 6.42
191.78 6.03
198.33 5.29
201.87 6.22
206.00 5.34
210.76 7.51
220.63 5.54
228.39 5.31
237.62 7.12
247.49 6.16
256.51 8.46
257.93 7.00
262.63 6.62
270.37 7.34
274.54 5.28
278.75 5.20
282.47 5.17
289.49 6.35
300.16 7.29
303.38 8.02
312.89 5.15
322.28 5.08
330.26 7.45
336.00 7.39
345.09 6.68
346.64 5.77
352.32 6.63
358.92 5.56
363.04 6.62
372.93 5.60
377.90 7.67
388.78 5.98
397.44 6.31
401.99 8.38
408.33 6.35
410.44 6.01
414.51 5.53
419.90 8.06
421.17 5.09
430.18 8.03
440.48 5.31
449.25 8.58
450.39 5.51
457.20 8.46
463.03 6.84
464.28 7.24
472.11 5.29
476.69 5.73
478.18 7.38
481.73 6.48
485.30 7.52
486.92 6.88
491.02 8.22
500.87 6.35
511.56 8.18
513.70 6.16
520.74 5.52
523.94 6.28
533.86 5.37
537.17 7.55
545.62 6.96
550.24 5.29
554.36 7.20
561.06 5.94
569.79 6.03
577.94 6.73
586.61 6.72
592.62 6.20
593.78 6.23
600.64 5.84
604.07 5.98
614.03 7.75
618.50 7.94
629.07 7.20
638.59 5.16
642.50 8.83
647.13 7.47
654.39 8.07
658.07 8.96
660.65 8.04
664.00 7.60
670.63 7.85
672.44 7.73
678.67 5.70
685.97 8.68
690.00 7.34
696.06 5.08
701.00 7.00
707.94 7.70
716.20 7.31
723.13 5.07
727.96 7.94
738.63 8.03
740.31 5.60
749.36 7.94
750.68 5.10
753.16 8.31
763.91 7.37
771.73 5.74
778.78 7.66
781.91 8.13
792.13 8.73
800.48 7.82
806.00 6.37
809.23 5.50
811.96 7.37
815.59 7.33
818.25 5.86
821.94 8.31
830.38 6.30
837.52 6.49
842.21 8.58
852.09 6.11
857.47 7.72
858.92 8.21
868.11 6.63
869.81 5.24
874.44 8.24
876.41 6.80
887.40 6.04
891.46 7.90
901.72 7.72
908.34 6.76
916.97 7.27
924.58 8.04
928.82 8.41
934.22 6.12
935.73 8.36
940.87 5.11
942.30 6.83
945.98 8.09
949.95 6.69
954.02 8.06
960.25 5.81
963.43 6.42
965.63 8.27
974.92 6.93
976.11 8.55
981.58 7.76
985.90 6.80
992.04 8.48
993.23 6.15
999.01 8.86
1009.70 8.16
1010.79 7.09
1015.76 5.28
1020.84 7.17
1031.77 7.13
1037.06 7.02
1041.79 8.20
1051.95 7.25
1056.42 6.22
1063.83 7.03
1065.07 8.83
1068.69 5.66
1073.61 7.89
1081.56 7.38
1092.00 6.59
1100.53 5.04
1110.97 6.37
1119.92 7.93
1122.84 7.78
1133.44 5.20
1138.53 6.15
1144.44 6.94
1150.02 8.77
1154.19 7.13
1160.53 8.81
1166.76 7.86
1174.22 8.89
